,a,b,c,d,e,f,g,h,i,j
5150,852,667,599,914,557,95,412,912,209,834
5151,49,399,977,66,132,622,272,672,974,343
5152,91,258,55,695,693,773,768,778,83,884
5153,218,34,687,50,769,418,339,13,115,673
5154,129,741,296,477,706,185,317,804,475,545
5155,110,679,27,559,40,397,651,155,381,662
5156,879,349,110,811,295,721,270,148,231,913
5157,622,606,200,236,143,110,584,72,590,305
5158,543,355,773,806,418,452,801,671,498,720
5159,773,608,36,939,869,617,196,792,181,631
5160,940,759,832,111,849,790,741,849,600,693
5161,923,937,555,687,804,105,607,834,952,763
5162,275,697,15,729,555,240,368,271,891,795
5163,586,768,84,475,585,87,963,312,248,582
5164,208,589,61,880,718,440,484,803,558,746
5165,198,279,964,137,299,958,268,105,143,437
5166,760,263,948,976,729,923,516,944,906,417
5167,870,369,294,692,748,964,923,321,638,550
5168,380,143,212,649,795,486,298,415,19,451
5169,425,947,118,404,855,900,467,275,725,372
5170,934,663,186,712,654,24,919,855,69,205
5171,253,357,784,187,126,418,75,152,908,525
5172,926,156,616,439,662,864,482,695,436,748
5173,535,732,298,641,544,704,197,583,306,321
5174,67,882,268,902,746,207,156,969,564,74
5175,433,417,360,724,633,15,957,412,784,106
5176,905,179,944,320,577,344,52,975,728,957
5177,496,594,223,330,946,192,618,506,398,318
5178,808,336,483,6,977,115,92,826,566,491
5179,272,522,288,148,852,828,638,870,816,271
5180,124,292,803,902,294,477,760,327,952,92
5181,98,299,328,562,974,747,735,678,169,669
5182,386,696,472,258,808,302,48,375,169,508
5183,118,25,102,832,733,988,853,942,577,820
5184,578,253,680,447,513,665,914,874,106,162
5185,266,914,959,164,247,600,905,774,676,999
5186,364,122,590,778,814,944,638,528,488,262
5187,843,982,984,231,447,577,164,326,854,775
5188,582,350,549,621,539,266,661,369,526,241
5189,228,85,906,148,915,126,35,510,44,306
5190,200,899,496,152,890,218,153,232,785,299
5191,186,284,297,350,439,85,91,148,768,9
5192,925,558,655,77,617,766,730,165,730,294
5193,404,128,577,615,651,633,167,249,613,774
5194,288,288,670,573,517,53,694,610,493,228
5195,721,64,45,505,266,114,786,459,470,105
5196,148,306,562,717,275,513,586,149,266,146
5197,514,202,396,373,14,566,628,514,332,398
5198,830,385,582,385,691,587,521,320,320,472
5199,944,857,209,417,27,831,709,816,617,227
5200,523,285,611,811,947,180,60,419,702,996
5201,11,746,829,770,639,448,557,168,530,623
5202,139,326,373,908,94,401,104,608,514,594
5203,948,53,404,789,762,239,406,48,291,291
5204,378,187,163,868,587,423,378,854,784,502
5205,889,254,821,222,917,701,28,684,369,660
5206,33,463,534,120,611,602,416,635,477,802
5207,959,805,490,341,79,879,279,883,986,572
5208,653,879,468,773,752,781,442,406,635,645
5209,95,563,172,911,678,511,688,780,308,549
5210,609,727,779,371,950,464,352,546,265,68
5211,674,527,750,304,641,158,797,973,404,374
5212,745,575,772,329,877,883,652,774,5,308
5213,887,97,354,526,431,286,110,402,761,347
5214,142,174,953,133,132,331,611,629,236,969
5215,295,328,741,155,188,955,374,84,156,237
5216,235,482,724,923,854,939,902,675,978,499
5217,385,792,752,997,27,956,771,455,249,618
5218,322,684,238,841,395,364,453,107,500,706
5219,138,913,683,118,356,924,671,378,235,120
5220,476,119,229,227,199,46,911,714,250,231
5221,57,316,801,584,984,514,393,217,104,535
5222,935,44,326,609,517,613,560,371,60,75
5223,8,294,268,695,305,848,516,664,294,723
5224,725,589,262,626,104,32,900,226,870,215
5225,82,562,608,576,908,965,842,141,95,253
5226,979,950,645,951,202,19,578,116,550,11
5227,690,665,635,325,337,696,249,762,838,63
5228,76,158,585,685,393,540,323,322,679,619
5229,808,100,576,605,604,633,450,592,676,371
5230,531,23,526,708,544,106,603,648,708,953
5231,86,244,747,5,492,52,271,861,457,319
5232,523,413,681,429,488,705,901,438,123,489
5233,747,111,640,810,975,711,345,910,831,930
5234,833,175,328,419,990,377,657,548,502,0
5235,143,259,313,947,507,912,347,381,704,923
5236,414,255,41,521,783,776,201,557,19,865
5237,734,191,818,699,410,500,806,568,971,802
5238,297,588,806,851,742,248,417,387,820,295
5239,411,858,26,387,186,497,333,169,647,203
5240,795,79,536,397,429,603,573,715,789,880
5241,6,650,315,51,456,423,862,313,687,541
5242,114,784,821,887,421,733,321,663,158,263
5243,830,39,619,720,881,438,424,122,57,329
5244,322,910,640,138,108,833,501,869,82,805
5245,673,885,881,82,942,392,635,348,609,155
5246,828,230,984,985,530,559,947,618,822,786
5247,761,841,677,253,870,499,27,921,718,576
5248,396,266,762,912,810,297,970,124,309,489
5249,122,644,857,142,640,193,916,795,331,419
5250,783,807,786,318,955,756,777,302,992,38
5251,980,599,427,144,576,688,654,873,54,479
5252,698,886,551,247,897,85,554,405,506,978
5253,316,271,839,746,454,799,292,710,96,19
5254,245,931,50,541,646,948,575,121,412,773
5255,337,640,454,73,110,208,357,123,104,130
5256,71,705,710,351,614,662,202,69,275,532
5257,132,285,81,911,889,664,797,459,912,479
5258,620,253,109,160,721,705,728,840,219,582
5259,503,490,548,420,290,386,466,290,938,860
5260,741,914,781,111,324,743,918,969,565,142
5261,930,364,149,454,415,543,431,329,967,30
5262,548,629,166,721,832,806,15,443,890,393
5263,365,853,243,372,776,275,649,902,415,989
5264,795,23,970,522,878,707,23,940,781,431
5265,827,673,185,94,471,643,153,588,264,278
5266,931,643,938,299,777,966,14,805,748,909
5267,352,175,122,454,502,623,750,227,877,654
5268,60,741,32,806,555,481,650,62,290,432
5269,690,836,395,319,938,875,958,854,603,896
5270,381,563,954,543,372,624,945,860,362,517
5271,534,175,653,796,922,612,366,616,599,455
5272,60,93,203,43,545,152,216,870,946,109
5273,562,1,116,137,736,298,799,26,287,212
5274,58,188,789,382,520,646,139,420,740,733
5275,186,552,239,11,849,380,486,384,599,750
5276,34,94,298,19,699,503,744,679,933,934
5277,478,332,208,120,403,719,472,249,56,658
5278,591,857,430,371,598,365,185,103,195,918
5279,177,421,28,666,770,273,422,927,839,640
5280,298,739,597,529,500,766,74,139,122,797
5281,882,303,924,130,684,629,898,751,414,691
5282,911,956,719,633,354,472,12,354,347,894
5283,807,274,683,10,573,224,323,704,519,505
5284,85,250,889,570,193,400,593,663,18,453
5285,432,992,909,329,639,300,489,706,692,882
5286,487,100,485,180,435,54,915,782,392,589
5287,570,75,154,297,666,353,969,814,536,362
5288,721,492,416,110,75,681,708,60,250,138
5289,780,780,229,885,261,705,636,187,672,988
5290,773,215,106,727,467,543,595,106,622,749
5291,84,795,293,620,497,473,889,972,562,494
5292,193,808,679,970,742,545,681,632,395,849
5293,333,72,160,988,615,564,772,406,308,486
5294,242,854,543,919,642,536,534,695,830,150
5295,407,537,588,533,96,758,302,579,992,382
5296,128,160,610,31,346,944,557,329,952,656
5297,266,738,89,291,910,705,588,594,131,19
5298,479,181,696,261,501,138,64,832,948,943
5299,983,386,524,773,710,313,805,35,426,518
5300,223,853,652,336,447,914,291,670,827,986
5301,338,14,988,620,641,969,653,54,836,696
5302,206,497,868,988,774,558,547,747,754,684
5303,519,938,107,449,404,130,327,516,184,305
5304,382,741,865,527,27,555,345,389,255,164
5305,316,323,562,127,399,527,348,392,266,37
5306,643,87,901,728,438,573,760,730,268,436
5307,185,133,982,23,896,749,553,297,755,854
5308,892,182,539,944,62,76,226,108,236,778
5309,48,692,448,315,957,819,812,19,585,702
5310,809,486,778,437,492,229,270,513,163,613
5311,589,14,341,307,988,817,673,411,531,976
5312,805,117,727,497,451,89,41,783,667,173
5313,73,909,289,429,967,752,749,372,482,200
5314,530,276,739,200,357,618,739,382,528,643
5315,858,98,855,543,797,595,741,667,761,477
5316,785,679,136,969,817,603,897,337,721,4
5317,948,808,746,17,428,702,56,144,565,160
5318,766,849,344,995,69,516,770,212,793,588
5319,216,628,287,784,171,893,381,548,949,201
5320,829,589,211,394,799,519,193,834,329,83
5321,467,182,434,306,749,465,823,366,198,830
5322,887,123,374,18,411,336,564,148,490,893
5323,957,325,539,139,552,624,591,364,603,961
5324,106,4,340,533,176,287,691,656,316,88
5325,267,567,395,317,710,547,40,79,917,212
5326,417,66,933,647,736,522,264,555,660,776
5327,745,159,107,800,827,857,791,430,97,741
5328,739,60,781,241,466,29,993,669,94,291
5329,651,900,387,624,463,749,554,693,521,267
5330,882,911,186,398,695,548,956,389,517,980
5331,10,544,835,551,357,964,870,646,612,627
5332,922,54,304,928,864,527,190,180,148,427
5333,408,999,716,755,960,942,661,393,943,59
5334,835,318,982,194,660,813,518,422,552,600
5335,185,632,801,72,784,672,491,948,684,196
5336,611,617,477,677,757,937,837,245,409,650
5337,228,733,797,526,502,142,22,722,402,907
5338,506,792,122,223,985,743,58,783,380,522
5339,686,434,478,408,24,62,515,174,954,328
5340,199,387,618,8,463,414,166,550,97,541
5341,697,646,682,657,149,508,557,630,420,230
5342,332,15,547,428,291,690,892,218,134,994
5343,579,630,390,504,551,441,96,918,558,138
5344,121,891,191,169,20,728,506,568,839,386
5345,629,582,117,763,36,516,849,107,157,449
5346,842,624,133,880,13,754,66,307,621,931
5347,571,290,652,280,245,22,234,898,596,36
5348,322,867,94,184,956,34,753,249,625,425
5349,737,869,249,77,819,159,198,99,661,681
5350,23,489,286,912,909,355,517,620,309,292
5351,705,954,432,605,247,772,987,351,228,836
5352,438,302,935,536,98,272,896,704,947,161
5353,935,439,785,628,151,982,386,807,518,819
5354,123,80,870,688,766,778,365,198,315,17
5355,224,864,505,836,111,285,524,199,844,320
5356,551,684,647,731,132,61,351,541,797,523
5357,39,462,103,664,322,771,970,628,900,166
5358,114,841,887,870,280,693,394,56,542,8
5359,183,906,304,630,535,826,434,534,699,917
5360,496,102,265,926,766,553,51,945,273,875
5361,595,761,83,901,80,63,138,980,940,717
5362,641,102,235,291,83,386,688,34,696,595
5363,48,96,926,886,194,470,363,117,270,15
5364,599,990,806,885,833,628,78,795,248,1
5365,253,900,406,529,20,923,686,745,385,967
5366,113,976,278,137,391,88,344,716,760,256
5367,297,27,472,267,740,425,680,698,363,429
5368,754,679,238,354,252,17,697,382,395,547
5369,789,11,66,453,200,742,233,99,501,355
5370,74,937,417,923,765,272,709,244,384,61
5371,570,370,890,987,343,846,732,656,114,96
5372,461,815,785,278,942,432,315,124,630,956
5373,393,216,804,957,546,923,466,170,150,352
5374,460,267,569,734,785,871,863,698,699,432
5375,766,511,485,267,13,218,975,398,883,886
5376,188,434,524,687,429,364,779,793,940,490
5377,958,478,522,411,965,77,300,766,588,935
5378,930,681,808,568,95,743,102,589,756,4
5379,515,698,808,125,877,326,767,442,939,107
5380,743,989,516,405,932,269,8,203,777,38
5381,576,794,874,932,514,938,201,52,824,173
5382,574,736,680,127,537,47,862,138,573,203
5383,736,994,835,472,935,109,580,610,865,385
5384,639,646,264,58,41,542,570,678,4,486
5385,201,867,222,409,767,349,804,627,199,490
5386,934,268,925,439,841,853,256,259,770,897
5387,323,822,426,601,296,8,627,493,400,581
5388,890,89,943,962,900,608,891,125,199,850
5389,457,775,354,665,632,202,426,302,474,92
5390,233,620,187,967,672,288,237,440,766,746
5391,907,525,952,715,675,636,62,310,940,701
5392,508,573,216,373,835,498,667,182,615,379
5393,638,6,217,967,773,961,728,211,444,434
5394,455,460,747,460,623,867,802,855,522,47
5395,728,599,104,975,469,578,179,715,219,956
5396,975,594,676,655,274,764,344,91,935,26
5397,179,47,573,846,160,169,529,938,481,85
5398,265,488,473,993,128,590,927,382,427,290
5399,85,320,598,722,788,419,134,364,770,224
5400,131,179,679,239,434,12,574,457,709,311
5401,899,557,477,98,115,194,718,339,632,62
5402,856,56,524,86,353,842,857,956,440,939
5403,283,927,352,412,723,578,855,266,293,445
5404,110,362,376,10,328,192,620,962,738,365
5405,273,520,336,811,856,862,191,405,558,819
5406,833,947,287,682,827,587,114,484,502,336
5407,489,110,4,915,100,580,642,547,402,909
5408,329,91,120,297,21,905,902,38,164,37
5409,51,790,556,747,678,477,68,881,908,506
5410,433,175,302,145,496,498,92,177,683,580
5411,173,483,843,491,377,692,67,460,867,102
5412,831,981,790,380,257,42,381,377,305,298
5413,40,674,861,282,966,691,107,945,301,461
5414,680,976,853,301,174,108,431,686,999,765
5415,54,911,934,0,997,304,308,260,450,993
5416,818,207,412,554,805,609,764,764,838,71
5417,97,684,673,726,271,958,290,774,317,102
5418,460,63,913,558,491,662,719,31,538,210
5419,632,65,223,379,374,504,394,741,13,778
5420,322,634,610,537,234,295,907,673,62,498
5421,62,66,934,105,754,964,647,639,944,811
5422,218,242,953,653,921,337,430,831,497,570
5423,478,112,933,813,971,677,470,84,833,552
5424,868,997,180,618,489,996,261,319,869,161
5425,917,954,349,437,415,118,915,795,418,506
5426,578,108,33,110,53,530,880,900,481,760
5427,336,22,631,404,348,190,370,881,285,691
5428,570,498,190,62,793,29,960,283,813,596
5429,68,719,235,98,327,653,0,48,579,767
5430,402,736,941,941,428,18,390,215,456,132
5431,173,698,664,120,311,789,46,367,988,687
5432,574,976,514,212,462,978,9,150,598,909
5433,171,291,662,283,837,226,373,352,30,78
5434,538,26,111,599,945,398,544,737,789,775
5435,520,642,659,609,313,212,137,961,568,657
5436,76,938,28,61,457,803,620,116,963,34
5437,950,913,200,907,366,168,539,742,931,946
5438,974,779,177,350,144,4,72,6,382,543
5439,915,469,618,60,508,223,170,111,842,436
5440,611,380,949,641,686,745,744,148,549,629
5441,944,295,988,721,771,84,915,403,231,461
5442,83,546,79,786,172,940,995,733,71,496
5443,441,549,568,140,16,457,929,3,895,115
5444,194,404,600,227,205,929,520,125,156,465
5445,646,734,604,231,477,870,548,154,232,206
5446,69,793,945,638,398,71,429,86,384,21
5447,948,324,840,218,256,38,909,748,64,731
5448,368,171,394,512,635,332,638,12,221,593
5449,563,190,124,242,347,448,193,819,404,926
5450,961,680,246,554,332,48,414,342,573,63
5451,102,725,123,80,98,331,952,700,77,761
5452,451,810,77,358,348,947,651,542,563,614
5453,904,996,341,596,610,692,575,914,58,712
5454,140,288,587,696,186,491,354,226,891,487
5455,440,779,976,965,452,867,715,63,2,886
5456,412,902,609,747,290,735,99,559,544,989
5457,83,824,42,177,718,363,253,955,242,167
5458,128,307,429,667,806,577,525,350,902,456
5459,527,914,195,630,918,78,196,582,622,798
5460,300,604,500,812,963,51,807,900,675,550
5461,809,959,190,542,574,671,834,721,515,880
5462,617,484,379,162,102,594,366,604,305,242
5463,494,441,381,650,31,767,26,736,804,717
5464,148,86,379,865,17,736,906,932,901,880
5465,784,180,394,723,355,714,573,744,143,673
5466,867,798,899,343,192,324,651,435,436,770
5467,942,994,0,363,867,521,842,625,616,774
5468,829,837,739,404,766,901,247,127,793,128
5469,504,157,284,659,322,985,61,219,975,524
5470,499,793,496,104,776,83,535,207,181,60
5471,821,306,284,892,445,627,575,42,407,932
5472,554,356,828,841,568,212,305,915,737,113
5473,631,41,925,403,70,878,530,24,917,670
5474,184,125,46,480,88,478,608,789,856,200
5475,988,650,880,139,284,605,160,788,177,937
5476,96,964,12,835,537,173,414,135,61,439
5477,497,524,499,214,397,2,150,153,487,648
5478,176,135,133,198,657,699,350,176,810,25
5479,328,185,976,970,987,28,497,868,270,534
5480,952,460,648,769,712,148,905,137,320,521
5481,983,329,684,245,661,50,520,775,170,881
5482,118,572,413,876,512,265,662,659,891,814
5483,680,980,168,725,870,777,885,285,663,993
5484,847,457,121,624,731,431,47,477,284,207
5485,10,365,436,240,213,213,712,301,626,663
5486,510,817,30,369,9,34,354,249,456,112
5487,907,93,603,95,290,952,95,106,300,656
5488,764,940,610,455,224,648,243,838,712,111
5489,896,334,539,472,561,678,411,102,654,24
5490,354,468,418,798,884,223,214,305,764,38
5491,276,637,982,257,331,845,479,449,829,800
5492,599,454,92,239,844,385,142,176,912,923
5493,66,868,584,818,469,744,53,976,523,799
5494,883,917,606,300,872,772,124,71,629,514
5495,300,200,459,820,554,41,520,936,891,632
5496,506,880,11,798,965,606,995,661,290,799
5497,440,822,154,335,819,510,822,384,360,850
5498,935,753,627,540,150,882,420,817,635,46
5499,263,449,679,863,501,430,361,225,763,436
5500,600,8,56,770,77,88,423,784,888,424
5501,449,12,364,774,247,377,23,124,943,604
5502,633,249,112,130,396,674,229,498,47,712
5503,549,650,187,822,495,739,121,598,620,869
5504,11,837,496,693,722,154,735,227,914,495
5505,266,29,130,385,341,785,915,272,75,91
5506,926,821,441,398,888,111,106,316,827,515
5507,377,213,391,201,937,716,681,615,212,760
5508,695,585,707,308,276,675,674,609,791,411
5509,18,429,551,686,678,564,671,223,661,605
5510,401,979,769,16,887,585,820,139,97,840
5511,738,463,435,836,145,240,902,154,133,600
5512,558,435,396,209,98,724,276,612,843,997
5513,38,593,905,887,835,484,492,493,917,427
5514,451,411,321,948,888,588,790,480,840,109
5515,56,506,773,217,775,605,987,119,827,848
5516,372,864,700,656,722,753,14,574,932,982
5517,247,212,562,991,919,609,283,992,922,696
5518,584,936,954,231,832,193,326,467,531,973
5519,152,358,948,6,267,611,48,76,40,706
5520,334,338,619,295,824,387,595,235,538,125
5521,760,790,904,309,447,79,567,422,122,310
5522,834,622,157,338,324,665,109,720,764,113
5523,435,594,948,32,555,602,912,599,5,117
5524,476,905,766,978,471,762,384,156,112,75
5525,430,920,193,718,578,383,452,401,929,942
5526,156,356,224,402,918,357,87,482,223,615
5527,458,726,456,530,842,167,784,845,493,739
5528,197,463,392,916,556,466,883,277,300,991
5529,551,283,22,332,878,63,531,97,67,262
5530,455,828,261,642,15,495,66,984,816,415
5531,686,595,546,858,111,264,392,83,474,605
5532,432,101,122,741,177,233,889,352,838,36
5533,381,0,226,226,749,7,76,328,115,517
5534,724,638,14,158,693,535,482,317,915,25
5535,126,66,910,700,712,9,74,766,89,158
5536,920,534,898,647,23,635,730,321,187,936
5537,609,884,212,285,269,898,416,695,45,600
5538,496,893,484,400,955,771,903,497,476,122
5539,916,771,132,97,719,26,663,84,785,205
5540,748,866,549,925,361,816,835,20,597,136
5541,519,528,607,925,300,962,178,623,493,112
5542,801,947,823,995,182,29,135,488,215,562
5543,886,636,704,880,770,964,464,463,349,888
5544,108,490,400,451,268,710,337,342,884,734
5545,1,767,15,270,877,614,908,852,880,717
5546,263,79,801,197,141,259,692,99,163,147
5547,934,352,610,76,625,727,898,494,896,598
5548,677,695,379,295,86,56,55,729,875,538
5549,658,330,317,918,121,646,703,315,438,400
5550,503,476,26,83,432,29,881,475,968,777
5551,849,155,598,822,419,533,272,420,840,552
5552,585,503,233,414,115,728,687,763,867,494
5553,97,237,121,655,401,637,328,168,258,121
5554,78,521,159,185,451,681,910,902,853,479
5555,357,515,985,749,909,95,240,799,720,843
5556,919,272,733,36,841,601,286,413,608,640
5557,439,879,508,802,454,161,438,903,38,235
5558,784,418,292,526,862,612,819,697,70,715
5559,882,513,926,897,138,777,278,387,41,831
5560,326,108,693,533,28,536,487,276,212,847
5561,273,357,109,599,254,6,796,84,465,181
5562,217,344,716,544,815,735,362,723,253,138
5563,206,960,129,713,687,907,181,191,603,756
5564,889,652,465,911,910,932,384,52,302,130
5565,621,196,437,767,806,944,807,60,631,488
5566,477,726,148,74,292,41,9,431,518,416
5567,284,634,881,166,18,857,959,168,521,879
5568,887,290,186,260,702,365,374,836,226,253
5569,801,295,358,181,911,656,251,993,329,908
5570,624,590,395,431,494,16,973,922,695,71
5571,264,934,640,306,25,300,394,159,101,996
5572,536,389,813,603,863,574,490,973,510,168
5573,566,438,143,49,321,850,521,284,114,522
5574,428,867,181,247,681,322,665,648,15,522
5575,893,561,486,820,11,538,432,289,1,385
5576,660,721,396,842,410,537,600,795,682,966
5577,563,637,578,902,356,477,903,307,609,273
5578,687,344,100,78,864,292,453,961,75,314
5579,793,126,656,786,250,281,133,271,12,768
5580,180,972,586,678,655,623,994,558,767,997
5581,999,464,323,709,620,104,341,834,255,786
5582,767,701,187,492,43,212,14,475,478,154
5583,217,246,709,342,282,383,249,476,314,256
5584,559,371,327,783,665,518,40,449,796,787
5585,68,588,268,582,901,692,23,955,695,226
5586,601,830,481,172,301,26,224,483,429,293
5587,728,484,687,429,234,289,448,340,800,186
5588,851,273,141,826,606,355,479,49,607,925
5589,961,887,78,943,999,771,723,785,558,91
5590,495,304,543,695,591,832,37,17,679,194
5591,827,78,199,87,755,133,843,797,808,937
5592,502,661,18,605,284,54,745,651,957,273
5593,696,571,270,278,39,652,412,956,735,5
5594,658,632,771,477,826,724,849,135,813,138
5595,663,188,857,1,563,400,269,724,441,710
5596,271,795,553,83,596,40,294,392,621,783
5597,330,954,171,485,26,154,222,140,469,814
5598,280,961,542,940,831,137,586,728,772,107
5599,104,32,146,380,732,219,824,710,738,138
5600,581,469,761,832,553,207,176,599,60,424
5601,867,490,475,923,156,179,529,464,783,698
5602,609,504,353,790,20,45,219,693,559,55
5603,479,236,198,586,79,662,286,839,556,658
5604,871,82,681,822,664,520,219,164,717,369
5605,507,838,625,347,272,183,261,477,321,782
5606,874,933,597,965,406,922,262,937,917,197
5607,884,525,224,89,158,285,673,696,712,496
5608,869,625,957,274,412,561,690,808,667,42
5609,572,491,78,416,936,241,804,131,272,297
5610,779,161,311,403,10,904,971,200,647,981
5611,231,291,399,286,846,661,774,688,500,50
5612,476,199,732,317,804,480,986,955,310,293
5613,15,501,509,756,12,571,993,747,250,838
5614,86,788,293,172,593,566,423,286,869,263
5615,81,994,511,327,93,869,152,883,258,553
5616,726,546,764,796,695,181,33,556,603,848
5617,5,788,403,412,229,660,268,109,959,387
5618,790,823,738,250,200,497,70,626,629,86
5619,978,457,581,906,490,634,209,351,160,822
5620,898,937,324,956,566,344,213,22,377,418
5621,821,556,125,759,363,815,950,327,266,26
5622,97,710,959,129,603,264,485,166,744,479
5623,159,593,916,765,584,614,313,423,230,930
5624,249,152,893,324,864,771,593,760,561,67
5625,796,826,627,232,940,857,540,489,269,396
5626,675,190,790,361,793,181,860,741,239,939
5627,599,883,540,418,160,469,229,630,75,881
5628,794,602,281,628,7,639,559,876,761,815
5629,726,380,954,629,643,244,202,341,917,53
5630,964,874,9,827,662,594,534,181,652,885
5631,695,785,998,665,730,131,18,489,200,510
5632,868,220,141,214,849,283,874,770,958,767
5633,279,89,678,402,780,414,298,965,215,692
5634,340,263,905,808,253,872,365,614,536,816
5635,418,508,312,25,970,793,619,78,289,852
5636,492,405,239,776,338,141,337,329,118,36
5637,171,239,833,676,686,201,56,268,283,111
5638,557,990,575,997,258,902,310,668,376,655
5639,126,280,708,130,703,935,25,676,666,174
5640,790,383,860,309,416,770,80,381,700,771
5641,933,13,406,201,269,872,320,606,965,389
5642,43,847,812,102,715,647,703,158,656,44
5643,551,495,863,458,596,961,77,605,761,433
5644,982,671,620,628,528,75,258,681,681,275
5645,470,715,800,862,486,306,812,951,982,227
5646,725,462,530,624,942,372,804,24,980,282
5647,985,198,139,373,442,250,864,61,260,178
5648,367,642,589,536,429,521,897,544,993,486
5649,77,780,541,544,216,102,90,881,123,278
5650,364,57,196,970,398,267,209,505,238,552
5651,431,176,759,78,880,107,870,322,683,3
5652,943,537,572,968,846,548,433,940,605,88
5653,912,696,309,134,525,375,874,863,444,50
5654,236,807,461,127,478,681,865,386,589,599
5655,751,289,386,758,399,350,241,17,956,675
5656,902,879,124,113,447,68,521,458,959,295
5657,612,298,170,289,805,704,512,265,324,65
5658,64,718,406,793,73,876,722,422,535,813
5659,834,916,892,702,612,787,889,349,604,673
5660,645,156,732,979,924,174,725,367,607,382
5661,198,779,509,722,741,62,96,468,50,835
5662,955,701,645,533,508,502,626,906,423,850
5663,881,611,621,973,797,86,171,429,301,766
5664,333,682,893,299,100,76,865,809,620,775
5665,481,430,491,592,468,377,292,122,156,496
5666,5,353,991,65,595,654,793,442,430,513
5667,185,785,158,509,498,831,13,552,879,725
5668,369,498,165,282,266,786,392,413,980,344
5669,221,221,819,731,337,172,672,46,631,568
5670,206,990,36,127,405,347,464,661,117,98
5671,602,781,257,349,252,883,17,373,28,998
5672,349,729,712,249,755,972,866,314,119,846
5673,15,776,566,127,256,76,660,528,203,720
5674,985,662,862,795,401,869,276,633,440,210
5675,54,482,53,282,573,826,86,953,822,328
5676,740,104,383,101,678,71,824,103,186,956
5677,914,438,968,589,716,926,470,790,543,872
5678,369,799,92,300,93,292,860,955,486,615
5679,582,179,640,213,610,838,827,972,783,37
5680,443,629,822,749,37,797,919,470,424,412
5681,362,111,970,653,792,31,876,699,70,112
5682,230,696,529,877,490,298,997,659,513,673
5683,834,728,516,433,588,687,477,382,174,728
5684,525,410,225,43,168,232,379,612,489,509
5685,796,433,884,905,494,702,860,655,27,348
5686,671,120,249,281,326,796,185,772,50,79
5687,452,949,889,542,103,32,46,524,692,843
5688,566,880,753,679,805,252,421,799,153,365
5689,48,308,466,794,521,598,159,23,670,379
5690,295,227,64,754,415,486,772,260,453,746
5691,466,149,611,196,333,390,580,829,588,617
5692,597,57,272,573,378,568,262,220,877,846
5693,880,25,826,15,467,719,909,325,557,228
5694,430,589,340,397,965,177,706,197,741,676
5695,284,745,69,795,47,911,403,882,959,703
5696,170,590,681,38,66,914,345,39,563,231
5697,925,152,274,630,967,265,556,858,924,767
5698,78,864,660,900,360,956,310,703,418,399
5699,395,973,708,408,469,482,922,56,44,671
5700,831,864,497,524,451,984,206,826,997,182
5701,147,851,550,641,716,95,217,167,746,138
5702,407,345,285,177,274,276,533,655,197,31
5703,114,322,658,612,360,973,635,577,683,876
5704,220,363,577,631,231,722,404,914,621,202
5705,383,725,757,538,491,298,356,728,925,98
5706,898,607,357,800,7,898,649,646,655,28
5707,870,346,682,616,857,780,704,168,347,991
5708,548,356,304,107,890,135,319,954,95,445
5709,26,743,521,333,324,950,438,973,587,474
5710,939,525,23,399,514,951,121,630,711,516
5711,67,859,576,297,809,343,663,826,293,649
5712,329,189,530,876,910,575,319,857,990,549
5713,953,574,889,298,460,1,7,74,271,787
5714,240,610,767,812,119,469,987,436,744,317
5715,158,879,363,495,975,595,318,38,394,9
5716,152,312,966,236,725,961,726,452,93,991
5717,68,677,54,818,859,768,441,739,300,980
5718,240,709,585,667,255,895,735,582,549,579
5719,353,863,908,606,730,794,856,371,478,739
5720,815,284,222,803,156,970,952,420,437,390
5721,336,415,927,558,8,315,552,246,301,796
5722,580,742,959,774,381,237,161,48,727,415
5723,975,149,463,703,270,804,859,908,822,929
5724,486,791,992,700,279,619,378,489,860,572
5725,658,327,443,477,857,546,787,133,291,465
5726,220,185,707,81,769,965,184,717,462,961
5727,981,527,941,279,31,648,201,426,229,746
5728,500,172,770,465,650,284,389,332,494,71
5729,231,937,492,124,1,815,405,116,964,360
5730,180,319,253,437,758,222,942,96,42,542
5731,441,154,941,112,758,790,738,509,252,908
5732,671,832,324,772,236,651,899,534,196,361
5733,421,99,151,15,891,972,358,635,538,304
5734,816,678,765,415,307,111,382,265,577,965
5735,284,279,570,416,818,765,457,196,162,30
5736,332,136,466,346,377,868,263,138,236,71
5737,747,935,996,850,621,490,560,356,305,213
5738,966,882,10,648,593,530,606,607,612,302
5739,878,710,425,217,32,534,533,976,347,965
5740,943,254,917,306,636,878,612,852,701,184
5741,932,103,265,147,179,220,772,884,193,27
5742,832,418,742,319,613,148,890,206,390,654
5743,82,924,247,956,400,230,996,17,355,467
5744,475,337,491,0,599,403,945,897,273,409
5745,147,241,312,180,892,444,9,259,446,912
5746,369,315,865,277,419,442,216,211,85,528
5747,672,967,325,383,200,368,533,915,785,520
5748,861,463,590,210,451,799,709,385,735,989
5749,837,247,246,781,837,3,91,565,471,967
5750,505,815,310,853,779,414,451,990,811,206
5751,27,444,715,557,594,986,355,23,874,180
5752,834,695,934,406,182,178,844,947,72,490
5753,231,42,166,653,139,528,161,614,485,571
5754,680,563,358,339,603,864,707,9,148,578
5755,516,41,493,805,810,205,684,634,769,82
5756,707,920,481,729,869,527,475,940,226,782
